iter	MultiClass
150	1.110529466
151	1.110429181
152	1.110369583
153	1.110303939
154	1.11025245
155	1.110178916
156	1.110080561
157	1.110011492
158	1.109881073
159	1.109832369
160	1.109746793
161	1.109696548
162	1.109643148
163	1.109562877
164	1.109500049
165	1.109441131
166	1.109368432
167	1.109297519
168	1.109239552
169	1.109169593
170	1.109123547
171	1.109058044
172	1.108999468
173	1.108927667
174	1.10884338
175	1.10878128
176	1.108750976
177	1.10870045
178	1.108627251
179	1.108563817
180	1.10850732
181	1.108446093
182	1.108379205
183	1.108320815
184	1.108261732
185	1.108214292
186	1.108181173
187	1.108125294
188	1.108095731
189	1.108039205
190	1.107967817
191	1.107894953
192	1.107852805
193	1.107801642
194	1.107743197
195	1.107657936
196	1.107631193
197	1.107581916
198	1.10749914
199	1.107421513
200	1.107383738
201	1.107352189
202	1.10730361
203	1.107238991
204	1.107187963
205	1.107142669
206	1.107081587
207	1.107031521
208	1.106953229
209	1.106891771
210	1.106829522
211	1.106780019
212	1.106735516
213	1.106699622
214	1.106650193
215	1.106585699
216	1.106516139
217	1.106481945
218	1.106448386
219	1.106396162
220	1.106327441
221	1.106246984
222	1.106200427
223	1.1061585
224	1.106112451
225	1.106071194
226	1.106002543
227	1.105976014
228	1.105935182
229	1.105878003
230	1.105824278
231	1.105754419
232	1.105698872
233	1.105674495
234	1.105625112
235	1.105527454
236	1.105442609
237	1.105339455
238	1.105300031
239	1.105259768
240	1.105208295
241	1.105169337
242	1.105126966
243	1.105075163
244	1.105029466
245	1.104956374
246	1.104894308
247	1.10483183
248	1.104782177
249	1.104713345
250	1.104610149
251	1.104576099
252	1.104495108
253	1.104417537
254	1.104305852
255	1.104251324
256	1.104218936
257	1.104130705
258	1.104017183
259	1.103936142
260	1.103878831
261	1.103823776
262	1.103787562
263	1.103732643
264	1.103681602
265	1.103593021
266	1.103554021
267	1.10349803
268	1.103427229
269	1.103367581
270	1.103323627
271	1.103275255
272	1.103233426
273	1.10318843
274	1.103152266
275	1.103102447
276	1.103019412
277	1.102966215
278	1.102886193
279	1.10284992
280	1.102815675
281	1.102708661
282	1.102668221
283	1.102615373
284	1.102560386
285	1.102494769
286	1.102454276
287	1.102382667
288	1.102316176
289	1.10225501
290	1.102192695
291	1.102128561
292	1.101991922
293	1.101930302
294	1.10188097
295	1.101822218
296	1.101763713
297	1.101688677
298	1.101645886
299	1.101625318
300	1.101582754
301	1.101502561
302	1.101452583
303	1.101393542
304	1.101337891
305	1.101268689
306	1.10119345
307	1.10115528
308	1.101082852
309	1.1010132
310	1.100958231
311	1.100902677
312	1.100856296
313	1.100803413
314	1.100746628
315	1.100670262
316	1.100620352
317	1.100581623
318	1.100491628
319	1.100444266
320	1.100384604
321	1.10036057
322	1.100291888
323	1.100250841
324	1.100203197
325	1.100138836
326	1.100051888
327	1.099992487
328	1.099937456
329	1.099890369
330	1.099841889
331	1.099812989
332	1.099766012
333	1.099715805
334	1.099684469
335	1.099650531
336	1.099618763
337	1.099547912
338	1.099485545
339	1.099441798
340	1.099378038
341	1.099334424
342	1.0992968
343	1.099243635
344	1.099198245
345	1.099127689
346	1.099084619
347	1.099058099
348	1.099026553
349	1.098981855
350	1.098962232
351	1.098912947
352	1.09887766
353	1.0988196
354	1.098787307
355	1.098736388
356	1.098657207
357	1.098607158
358	1.098534348
359	1.098498495
360	1.098457668
361	1.098405791
362	1.098336024
363	1.098305297
364	1.098271294
365	1.098213389
366	1.098179267
367	1.098157404
368	1.09811298
369	1.098041805
370	1.098011904
371	1.097982861
372	1.097954081
373	1.097927781
374	1.097889942
375	1.097842984
376	1.097776186
377	1.097726572
378	1.097680949
379	1.097625375
380	1.097563264
381	1.097510177
382	1.097483405
383	1.097414661
384	1.097323621
385	1.097298401
386	1.097256205
387	1.097228255
388	1.097187439
389	1.097157012
390	1.097095722
391	1.09707017
392	1.097012253
393	1.096968963
394	1.096944209
395	1.096888149
396	1.09684234
397	1.096798087
398	1.096757157
399	1.096692207
400	1.096656295
401	1.096619086
402	1.096498307
403	1.096449051
404	1.096400479
405	1.096347268
406	1.096309331
407	1.096248057
408	1.096177183
409	1.096131712
410	1.096101245
411	1.096071587
412	1.096016777
413	1.095978147
414	1.095952179
415	1.095911876
416	1.095854874
417	1.095825007
418	1.095777105
419	1.095744324
420	1.095703778
421	1.095656487
422	1.095614868
423	1.09559195
424	1.095567151
425	1.095523992
426	1.095493013
427	1.095399887
428	1.095353019
429	1.09532452
430	1.095276751
431	1.095183001
432	1.095131342
433	1.095063817
434	1.095025592
435	1.095000705
436	1.094970547
437	1.094935121
438	1.094857516
439	1.094819188
440	1.094779022
441	1.094763621
442	1.094700959
443	1.094681273
444	1.094637359
445	1.094613228
446	1.094591753
447	1.094556062
448	1.094522859
449	1.094448533
450	1.094401259
451	1.094367671
452	1.094303974
453	1.094265405
454	1.094222554
455	1.094165616
456	1.094104369
457	1.094049495
458	1.094028505
459	1.094008503
460	1.093976371
461	1.09395441
462	1.093928656
463	1.093890756
464	1.093856229
465	1.093821035
466	1.093774154
467	1.093751793
468	1.093721414
469	1.093650654
470	1.093624223
471	1.093593718
472	1.093566343
473	1.093545467
474	1.093496593
475	1.093461139
476	1.093382839
477	1.093318101
478	1.093285537
479	1.09320335
480	1.093163189
481	1.093139038
482	1.093068609
483	1.093005017
484	1.092986966
485	1.092953072
486	1.092916576
487	1.092836295
488	1.092796633
489	1.092777834
490	1.0927332
491	1.092704796
492	1.092674996
493	1.092608631
494	1.092544786
495	1.092505119
496	1.092494877
497	1.092452082
498	1.092418474
499	1.092383581
500	1.092362476
501	1.092277145
502	1.09221953
503	1.092194788
504	1.09216385
505	1.092127209
506	1.092072875
507	1.092033506
508	1.091988513
509	1.091957771
510	1.091929938
511	1.091889307
512	1.091811581
513	1.091768017
514	1.09172654
515	1.091694124
516	1.091632394
517	1.091604949
518	1.091563693
519	1.091540825
520	1.091503508
521	1.091452656
522	1.091418536
523	1.091404146
524	1.091383509
525	1.091343047
526	1.09130478
527	1.091279596
528	1.091235886
529	1.091215948
530	1.09118306
531	1.091156901
532	1.091124404
533	1.091105463
534	1.091075289
535	1.091053489
536	1.091035391
537	1.090992831
538	1.090957587
539	1.090903346
540	1.090860828
541	1.090810072
542	1.090782489
543	1.090725793
544	1.09068664
545	1.090632334
546	1.090612141
547	1.090567953
548	1.090506211
549	1.090475576
550	1.090441167
551	1.090394411
552	1.090354859
553	1.09029597
554	1.090252256
555	1.09022346
556	1.090176561
557	1.090145611
558	1.090093235
559	1.090048889
560	1.090018046
561	1.089991758
562	1.089958673
563	1.089925968
564	1.089870661
565	1.089832028
566	1.089799806
567	1.089767645
568	1.089740418
569	1.089690786
570	1.089656827
571	1.089621646
572	1.089569715
573	1.089519643
574	1.08946812
575	1.089443222
576	1.08939765
577	1.089352831
578	1.089289545
579	1.0892715
580	1.089238009
581	1.089211728
582	1.089199536
583	1.089179755
584	1.089134539
585	1.089106413
586	1.089054939
587	1.089006802
588	1.088965091
589	1.088908948
590	1.088852373
591	1.088813373
592	1.088756325
593	1.088693078
594	1.08863116
595	1.08856843
596	1.088510232
597	1.088490397
598	1.088446619
599	1.088408302
600	1.088382302
601	1.088366464
602	1.088322277
603	1.088298641
604	1.088272752
605	1.08821625
606	1.088175778
607	1.088104876
608	1.088038962
609	1.088013524
610	1.087948853
611	1.087932388
612	1.087895331
613	1.087819363
614	1.08776124
615	1.087721477
616	1.087685031
617	1.087659979
618	1.087597043
619	1.087551669
620	1.087519306
621	1.087488245
622	1.087448644
623	1.087401307
624	1.0873571
625	1.087326634
626	1.08729408
627	1.087246777
628	1.087214355
629	1.087188806
630	1.087143108
631	1.087125689
632	1.087077445
633	1.087018925
634	1.086977719
635	1.086942895
636	1.086905989
637	1.086872996
638	1.086811365
639	1.086792398
640	1.086747694
641	1.086705528
642	1.08666716
643	1.086613126
644	1.086576545
645	1.086540683
646	1.086509229
647	1.086455704
648	1.086438025
649	1.086403792
650	1.086354651
651	1.086305813
652	1.086292927
653	1.086261123
654	1.086227111
655	1.086198847
656	1.08617923
657	1.08615001
658	1.086086935
659	1.086071306
660	1.08604945
661	1.086011443
662	1.085999546
663	1.085960841
664	1.085910466
665	1.085896895
666	1.085826843
667	1.085776939
668	1.08572559
669	1.085702198
670	1.085641949
671	1.085578563
672	1.085554511
673	1.08550011
674	1.085448052
675	1.085416735
676	1.085392578
677	1.085347165
678	1.085317232
679	1.085272599
680	1.085227135
681	1.085182855
682	1.085142383
683	1.085119163
684	1.085091143
685	1.085023691
686	1.085004097
687	1.084981277
688	1.084941845
689	1.084897985
690	1.084861842
691	1.08484843
692	1.084807163
693	1.084778116
694	1.084746912
695	1.084716209
696	1.084665691
697	1.084614754
698	1.084561624
699	1.084539216
700	1.084508096
701	1.084486401
702	1.084432006
703	1.084411857
704	1.084375125
705	1.084365153
706	1.08433242
707	1.084304235
708	1.084250861
709	1.084219708
710	1.084198951
711	1.084164411
712	1.084123937
713	1.084083443
714	1.084062195
715	1.084018467
716	1.083999319
717	1.083967817
718	1.083936956
719	1.083918524
720	1.083879388
721	1.083848925
722	1.083820287
723	1.083781045
724	1.083752784
725	1.083725586
726	1.083686264
727	1.083634942
728	1.083611398
729	1.083570479
730	1.083526057
731	1.083455094
732	1.083416253
733	1.083376979
734	1.083347649
735	1.083307935
736	1.083286793
737	1.083256308
738	1.083233254
739	1.083212549
740	1.083191609
741	1.083182443
742	1.083130265
743	1.083106257
744	1.083073831
745	1.083053248
746	1.083039196
747	1.083014661
748	1.082956786
749	1.082933911
750	1.082905385
751	1.082860964
752	1.082817371
753	1.082795925
754	1.082759437
755	1.082730235
756	1.082692703
757	1.082664464
758	1.082641936
759	1.082613984
760	1.082601742
761	1.08256084
762	1.082541179
763	1.082514326
764	1.082500594
765	1.082447448
766	1.082413135
767	1.082372395
768	1.082342729
769	1.082311512
770	1.082279906
771	1.082260553
772	1.082206213
773	1.082152955
774	1.082108908
775	1.082047663
776	1.08201655
777	1.081982654
778	1.081964084
779	1.081927139
780	1.081892883
781	1.081826568
782	1.081798363
783	1.081781866
784	1.081753326
785	1.081701119
786	1.081691572
787	1.081654791
788	1.081637477
789	1.081594687
790	1.081551811
791	1.081520696
792	1.081480621
793	1.081444879
794	1.081426889
795	1.081403796
796	1.081368694
797	1.081345556
798	1.081324248
799	1.081287924
800	1.081221823
801	1.08119374
802	1.081171701
803	1.081155109
804	1.081131988
805	1.081087076
806	1.081052857
807	1.081002588
808	1.080977556
809	1.080921095
810	1.080894089
811	1.0808715
812	1.08083703
813	1.080805045
814	1.080789693
815	1.080759065
816	1.080728089
817	1.080694521
818	1.080685476
819	1.080664929
820	1.080648948
821	1.080622144
822	1.080591739
823	1.080571748
824	1.080507679
825	1.080482997
826	1.080436679
827	1.080391932
828	1.080361689
829	1.08033704
830	1.080305868
831	1.08027353
832	1.080227302
833	1.080204642
834	1.080195444
835	1.080168415
836	1.080131302
837	1.080075202
838	1.080049962
839	1.080021973
840	1.080007097
841	1.079994306
842	1.0799686
843	1.079956011
844	1.079922696
845	1.079904298
846	1.079873231
847	1.079844026
848	1.079821755
849	1.079804776
850	1.079769496
851	1.079746313
852	1.079732129
853	1.07970922
854	1.079671866
855	1.079654349
856	1.079626126
857	1.079589398
858	1.079564089
859	1.079551191
860	1.079528307
861	1.079499075
862	1.079470519
863	1.079436451
864	1.079424552
865	1.079399121
866	1.079362546
867	1.079300159
868	1.079275974
869	1.079254776
870	1.079220216
871	1.079200119
872	1.079175454
873	1.079155744
874	1.07911186
875	1.079073893
876	1.079050985
877	1.079022352
878	1.079000774
879	1.078983395
880	1.078956901
881	1.07892019
882	1.078871626
883	1.078830185
884	1.078792857
885	1.078774633
886	1.078736618
887	1.078719846
888	1.078700562
889	1.078666324
890	1.078619307
891	1.078597557
892	1.078584937
893	1.078565749
894	1.078519781
895	1.078494552
896	1.078478069
897	1.078447706
898	1.078432924
899	1.07839015
900	1.078359388
901	1.078328789
902	1.078279762
903	1.078250201
904	1.078211935
905	1.078197717
906	1.078177687
907	1.078134744
908	1.078116018
909	1.078100036
910	1.078052112
911	1.078045382
912	1.078001892
913	1.077959792
914	1.077931741
915	1.077912972
916	1.07786734
917	1.07784275
918	1.077823947
919	1.077794046
920	1.07774394
921	1.077710659
922	1.077684677
923	1.077651992
924	1.077619588
925	1.077603348
926	1.077556058
927	1.077522787
928	1.077506272
929	1.077483439
930	1.07745464
931	1.077427775
932	1.077415405
933	1.077394304
934	1.077377028
935	1.077312292
936	1.077277226
937	1.077262
938	1.077215224
939	1.077184115
940	1.077165988
941	1.077135147
942	1.077079011
943	1.077042044
944	1.077012339
945	1.076968986
946	1.076948577
947	1.076920822
948	1.076865124
949	1.07683765
950	1.076823707
951	1.076806802
952	1.076784778
953	1.076754329
954	1.07671176
955	1.07667586
956	1.076623553
957	1.076587804
958	1.076565271
959	1.076538784
960	1.076527265
961	1.076507675
962	1.076467894
963	1.076444644
964	1.076418496
965	1.076385461
966	1.076362884
967	1.076334955
968	1.076319079
969	1.076275518
970	1.076255573
971	1.076220412
972	1.076206657
973	1.076180658
974	1.076124783
975	1.076107758
976	1.076076898
977	1.076033792
978	1.076003332
979	1.075986108
980	1.075968604
981	1.075941844
982	1.075900127
983	1.075853868
984	1.075839007
985	1.075826456
986	1.075814747
987	1.075775596
988	1.075744311
989	1.075725567
990	1.075711322
991	1.075697137
992	1.075661598
993	1.075653052
994	1.075636783
995	1.075618048
